评价内容(content)	评分（总分5分）(score)
一般般，一分钱一分货吧	1
商品质量很好，很满意，配送速度快啊，而且配送员态度也非常好。	4
刘慧敏提莫摸摸摸休息泽TCL退咯的一组婆婆破鼓规土局	5
还好还好还好还好红红火火好很好好	5
好好好好好好好好，好好好好好很好	5
很好很好很好好好好好好好好好	5
您没有填写内容，默认好评	3
啊啊啊啊啊啊啊啊啊啊啊啊啊啊	5
很好很强大，继续努力哟	5
你达州咯了8和睦妈呀他您了lz不够了	5
不错不错不错不错不错不错	5
发货速度快，非常给力的哈！发货速度快，非常给力的哈！发货速度快，非常给力的哈！发货速度快，非常给力的哈！发货速度快，非常给力的哈！	5
还没用，用后追加评价	5
好，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，	5
东西很好很好很好很好很好很好很好很好很好	5
很好，很好，很好，很好，很好。	5
妥妥滴妥妥滴妥妥滴妥妥滴妥妥滴妥妥滴妥妥滴妥妥滴妥妥滴	5
不错哦(&acute;-&omega;-`)赠品棒棒的，以后会常来哒。	5
您没有填写内容，默认好评	5
您没有填写内容，默认好评	1
还好！！！！！！！！！！！！！！！！！！！！	5
好好好好好好好好好好好好好	5
好评好评好评好评好评好评好评好评好评好评好评好评	5
sfhujhcvn**	5
6666546487648484046467873484	5
当大家看到我的这一篇评价时，表示我对产品是认可的，尽管我此刻的评论是复制粘贴的。这一方面是为了肯定商家的服务，另一方面是为了节省自己的时间，因为差评我会直接说为什么的。所以大家就当做是产品质量合格的意思来看就行了。最后祝店家越做越好，大家幸福平安，中华民族繁荣昌盛。	5
哈哈哈哈哈哈哈哈哈	5
OK看看健健康康坎坎坷坷坎坎坷坷坎坎坷坷门口看看坎坎坷坷坎坎坷坷坎坎坷坷	5
不错不错不错不错不错不错不错不错出版	5
您没有填写内容，默认好评	5
考虑考虑咯嗯默默哦萝莉控哦哦我问一下监控墨鱼汤	5
当我沉默的时候，我觉得很充实，当我开口说话，就感到了空虚。	5
习惯性好评，为了豆豆我要凑足多少个字来着？	5
可以！！！！！！！！！	5
价廉物美 一如既往的好评	5
不错，可以可以可以可以可以可以可以可以可以可以可以可以可以可以可以可以可以	5
儿子很喜欢，很好操控，玩的很个开心	5
质量很好，主要是价格也很公道。物流也很给力，好评，以后还会光顾的	5
质量很好，主要是价格也很公道。物流也很给力，好评，以后还会光顾的	5
宝贝收到了，孩子很喜欢	5
飞行器收到了，拿回来就打开试了下很不错，质量很好，和店里卖几百的一样，而且容易控制，很喜欢	5
您没有填写内容，默认好评	5
此用户未及时填写评价内容，系统默认评价！	5
物流签收了，这款玩具孩子很喜欢，质量不错，性价比高，高大上啊！	5
东西收到了，性价比很高，比实体店的还要便宜很多，真是一款不错的好东西	5
特意玩了几天才来评价，质量不错，孩子很喜欢，邻居见了跟我要链接也要购买。	5
东西收到了  质量真的不错  包装也很上档次  物流也很快	5
东西不错  收到后试了下  挺好	5
您没有填写内容，默认好评	5
看了好几款，果然下断了这一款，收到之后试飞了一下，果然很方便，操作简单，看着非常不错。	5
您没有填写内容，默认好评	5
产品很好   物流很快客服超级耐心解答所有问题  续航能力很好， 质量太好了 ，小孩非常喜欢，赞一个?	5
无人机收到了质量很不错飞的也挺远的特别喜欢	5
质量挺好，简单很好操作，孩子很喜欢	5
物流快，孩子很喜欢玩，质量很好，和图片描述的一样	5
玩了一段时间，质量还不错，孩子也掌控的很好，非常喜欢，超赞！	5
飞机很耐撞，质量杠杠的	5
